"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"565","April",4,"Sunday",2016,"Philadelphia, PA",21,7,0.25
"566","April",4,"Sunday",2017,"Philadelphia, PA",353,91,0.204954954954955
"567","April",4,"Thursday",2015,"Philadelphia, PA",124,53,0.299435028248588
"568","April",4,"Thursday",2016,"New York, NY",204,73,0.263537906137184
"569","April",4,"Thursday",2016,"Philadelphia, PA",110,51,0.316770186335404
"570","April",4,"Thursday",2017,"Philadelphia, PA",371,222,0.374367622259696
"571","April",4,"Tuesday",2015,"Philadelphia, PA",178,98,0.355072463768116
"572","April",4,"Tuesday",2016,"New York, NY",26,8,0.235294117647059
"573","April",4,"Tuesday",2016,"Philadelphia, PA",144,32,0.181818181818182
"574","April",4,"Tuesday",2017,"Philadelphia, PA",428,199,0.317384370015949
"575","April",4,"Wednesday",2015,"Philadelphia, PA",167,54,0.244343891402715
"576","April",4,"Wednesday",2016,"New York, NY",115,20,0.148148148148148
"577","April",4,"Wednesday",2016,"Philadelphia, PA",127,36,0.220858895705521
"578","April",4,"Wednesday",2017,"Philadelphia, PA",402,177,0.305699481865285
"579","April",5,"Friday",2016,"New York, NY",89,23,0.205357142857143
"580","April",5,"Friday",2016,"Philadelphia, PA",343,133,0.279411764705882
"581","April",5,"Friday",2017,"Philadelphia, PA",223,45,0.167910447761194
"582","April",5,"Monday",2015,"Philadelphia, PA",165,82,0.331983805668016
"583","April",5,"Monday",2016,"New York, NY",109,52,0.322981366459627
"584","April",5,"Monday",2016,"Philadelphia, PA",23,4,0.148148148148148
"585","April",5,"Monday",2017,"Philadelphia, PA",402,138,0.255555555555556
"586","April",5,"Saturday",2016,"New York, NY",63,20,0.240963855421687
"587","April",5,"Saturday",2016,"Philadelphia, PA",197,44,0.182572614107884
"588","April",5,"Thursday",2015,"Philadelphia, PA",301,131,0.303240740740741
"589","April",5,"Thursday",2016,"New York, NY",170,93,0.35361216730038
"590","April",5,"Thursday",2016,"Philadelphia, PA",290,108,0.271356783919598
"591","April",5,"Thursday",2017,"Philadelphia, PA",248,119,0.32425068119891
"592","April",5,"Tuesday",2015,"Philadelphia, PA",168,83,0.330677290836653
"593","April",5,"Tuesday",2016,"New York, NY",75,35,0.318181818181818
"594","April",5,"Tuesday",2016,"Philadelphia, PA",109,24,0.180451127819549
"595","April",5,"Tuesday",2017,"Philadelphia, PA",206,91,0.306397306397306
"596","April",5,"Wednesday",2015,"Philadelphia, PA",136,112,0.451612903225806
"597","April",5,"Wednesday",2016,"New York, NY",115,18,0.135338345864662
"598","April",5,"Wednesday",2016,"Philadelphia, PA",406,180,0.307167235494881
"599","April",5,"Wednesday",2017,"Philadelphia, PA",92,68,0.425
"600","May",1,"Friday",2015,"Philadelphia, PA",252,120,0.32258064516129
"601","May",1,"Friday",2017,"Philadelphia, PA",331,148,0.308977035490605
"602","May",1,"Saturday",2015,"Philadelphia, PA",212,76,0.263888888888889
"603","May",1,"Saturday",2017,"Philadelphia, PA",229,79,0.256493506493506
"604","May",1,"Sunday",2015,"Philadelphia, PA",208,44,0.174603174603175
"605","May",1,"Sunday",2016,"New York, NY",24,4,0.142857142857143
"606","May",1,"Sunday",2016,"Philadelphia, PA",418,46,0.0991379310344828
"607","May",1,"Sunday",2017,"Philadelphia, PA",301,64,0.175342465753425
"608","May",2,"Friday",2015,"Philadelphia, PA",356,142,0.285140562248996
"609","May",2,"Friday",2016,"Philadelphia, PA",250,106,0.297752808988764
"610","May",2,"Friday",2017,"Philadelphia, PA",377,108,0.222680412371134
"611","May",2,"Monday",2015,"Philadelphia, PA",216,88,0.289473684210526
"612","May",2,"Monday",2016,"Philadelphia, PA",435,107,0.197416974169742
"613","May",2,"Monday",2017,"Philadelphia, PA",417,147,0.26063829787234
"614","May",2,"Saturday",2015,"Philadelphia, PA",269,71,0.208823529411765
"615","May",2,"Saturday",2016,"Philadelphia, PA",431,83,0.16147859922179
"616","May",2,"Saturday",2017,"Philadelphia, PA",188,29,0.133640552995392
"617","May",2,"Sunday",2015,"Philadelphia, PA",264,51,0.161904761904762
"618","May",2,"Sunday",2016,"Philadelphia, PA",264,37,0.122923588039867
"619","May",2,"Sunday",2017,"Philadelphia, PA",251,44,0.149152542372881
"620","May",2,"Thursday",2015,"Philadelphia, PA",296,162,0.353711790393013
"621","May",2,"Thursday",2016,"Philadelphia, PA",514,248,0.325459317585302
"622","May",2,"Thursday",2017,"Philadelphia, PA",504,256,0.336842105263158
"623","May",2,"Tuesday",2015,"Philadelphia, PA",314,122,0.279816513761468
"624","May",2,"Tuesday",2016,"Philadelphia, PA",370,143,0.278752436647173
"625","May",2,"Tuesday",2017,"Philadelphia, PA",193,143,0.425595238095238
"626","May",2,"Wednesday",2015,"Philadelphia, PA",284,168,0.371681415929204
"627","May",2,"Wednesday",2016,"Philadelphia, PA",402,156,0.279569892473118
"628","May",2,"Wednesday",2017,"Philadelphia, PA",438,200,0.313479623824451
"629","May",3,"Friday",2015,"Philadelphia, PA",329,92,0.218527315914489
"630","May",3,"Friday",2016,"Philadelphia, PA",377,130,0.256410256410256
"631","May",3,"Monday",2015,"Philadelphia, PA",204,95,0.317725752508361
"632","May",3,"Monday",2016,"Philadelphia, PA",174,76,0.304
"633","May",3,"Monday",2017,"Philadelphia, PA",335,62,0.156171284634761
"634","May",3,"Saturday",2015,"Philadelphia, PA",198,44,0.181818181818182
"635","May",3,"Saturday",2016,"Philadelphia, PA",226,42,0.156716417910448
"636","May",3,"Sunday",2015,"Philadelphia, PA",183,19,0.0940594059405941
"637","May",3,"Sunday",2016,"Philadelphia, PA",244,47,0.161512027491409
"638","May",3,"Thursday",2015,"Philadelphia, PA",528,73,0.121464226289517
"639","May",3,"Thursday",2016,"Philadelphia, PA",336,138,0.291139240506329
"640","May",3,"Tuesday",2015,"Philadelphia, PA",365,129,0.261133603238866
"641","May",3,"Tuesday",2016,"Philadelphia, PA",371,142,0.276803118908382
"642","May",3,"Tuesday",2017,"Philadelphia, PA",366,160,0.304182509505703
"643","May",3,"Wednesday",2015,"Philadelphia, PA",509,32,0.0591497227356747
"644","May",3,"Wednesday",2016,"Philadelphia, PA",283,117,0.2925
"645","May",3,"Wednesday",2017,"Philadelphia, PA",465,244,0.344146685472496
"646","May",4,"Friday",2015,"Philadelphia, PA",269,121,0.31025641025641
"647","May",4,"Friday",2016,"Philadelphia, PA",369,178,0.325411334552102
"648","May",4,"Monday",2015,"Philadelphia, PA",529,69,0.115384615384615
"649","May",4,"Monday",2016,"Philadelphia, PA",257,88,0.255072463768116
"650","May",4,"Saturday",2015,"Philadelphia, PA",231,43,0.156934306569343
"651","May",4,"Saturday",2016,"Philadelphia, PA",101,32,0.240601503759398
"652","May",4,"Sunday",2015,"Philadelphia, PA",243,36,0.129032258064516
"653","May",4,"Sunday",2016,"Philadelphia, PA",237,53,0.182758620689655
"654","May",4,"Thursday",2015,"Philadelphia, PA",232,139,0.37466307277628
"655","May",4,"Thursday",2016,"Philadelphia, PA",259,79,0.233727810650888
"656","May",4,"Tuesday",2015,"Philadelphia, PA",231,86,0.271293375394322
"657","May",4,"Tuesday",2016,"Philadelphia, PA",301,117,0.279904306220096
"658","May",4,"Wednesday",2015,"Philadelphia, PA",272,76,0.218390804597701
"659","May",4,"Wednesday",2016,"Philadelphia, PA",359,103,0.222943722943723
