"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"729","June",3,"Saturday",2015,"Philadelphia, PA",423,9,0.0208333333333333
"730","June",3,"Saturday",2016,"Philadelphia, PA",287,8,0.0271186440677966
"731","June",3,"Saturday",2017,"Philadelphia, PA",413,28,0.0634920634920635
"732","June",3,"Sunday",2014,"Philadelphia, PA",86,0,0
"733","June",3,"Sunday",2015,"Philadelphia, PA",186,6,0.03125
"734","June",3,"Sunday",2016,"Philadelphia, PA",98,10,0.0925925925925926
"735","June",3,"Sunday",2017,"Philadelphia, PA",480,13,0.026369168356998
"736","June",3,"Thursday",2014,"Philadelphia, PA",274,13,0.0452961672473868
"737","June",3,"Thursday",2015,"Philadelphia, PA",680,21,0.0299572039942939
"738","June",3,"Thursday",2016,"Philadelphia, PA",471,66,0.122905027932961
"739","June",3,"Thursday",2017,"Philadelphia, PA",521,85,0.14026402640264
"740","June",3,"Tuesday",2014,"Philadelphia, PA",313,10,0.0309597523219814
"741","June",3,"Tuesday",2015,"Philadelphia, PA",289,10,0.0334448160535117
"742","June",3,"Tuesday",2016,"Philadelphia, PA",401,47,0.104910714285714
"743","June",3,"Tuesday",2017,"Philadelphia, PA",392,76,0.162393162393162
"744","June",3,"Wednesday",2014,"Philadelphia, PA",198,13,0.0616113744075829
"745","June",3,"Wednesday",2015,"Philadelphia, PA",292,14,0.0457516339869281
"746","June",3,"Wednesday",2016,"Philadelphia, PA",309,18,0.055045871559633
"747","June",3,"Wednesday",2017,"Philadelphia, PA",635,79,0.110644257703081
"748","June",4,"Friday",2014,"Philadelphia, PA",230,8,0.0336134453781513
"749","June",4,"Friday",2015,"Philadelphia, PA",331,43,0.114973262032086
"750","June",4,"Friday",2016,"Philadelphia, PA",244,37,0.131672597864769
"751","June",4,"Friday",2017,"Philadelphia, PA",535,47,0.0807560137457045
"752","June",4,"Monday",2014,"Philadelphia, PA",374,21,0.0531645569620253
"753","June",4,"Monday",2015,"Philadelphia, PA",322,9,0.027190332326284
"754","June",4,"Monday",2016,"Philadelphia, PA",501,34,0.0635514018691589
"755","June",4,"Monday",2017,"Philadelphia, PA",448,18,0.0386266094420601
"756","June",4,"Saturday",2014,"Philadelphia, PA",186,3,0.0158730158730159
"757","June",4,"Saturday",2015,"Philadelphia, PA",126,18,0.125
"758","June",4,"Saturday",2016,"New York, NY",52,3,0.0545454545454545
"759","June",4,"Saturday",2016,"Philadelphia, PA",232,23,0.0901960784313725
"760","June",4,"Saturday",2017,"Philadelphia, PA",476,29,0.0574257425742574
"761","June",4,"Sunday",2014,"Philadelphia, PA",106,2,0.0185185185185185
"762","June",4,"Sunday",2015,"Philadelphia, PA",274,4,0.0143884892086331
"763","June",4,"Sunday",2016,"New York, NY",22,2,0.0833333333333333
"764","June",4,"Sunday",2016,"Philadelphia, PA",326,20,0.0578034682080925
"765","June",4,"Sunday",2017,"Philadelphia, PA",501,33,0.0617977528089888
"766","June",4,"Thursday",2014,"Philadelphia, PA",282,6,0.0208333333333333
"767","June",4,"Thursday",2015,"Philadelphia, PA",483,35,0.0675675675675676
"768","June",4,"Thursday",2016,"Philadelphia, PA",386,87,0.183932346723044
"769","June",4,"Thursday",2017,"Philadelphia, PA",667,48,0.0671328671328671
"770","June",4,"Tuesday",2014,"Philadelphia, PA",138,1,0.00719424460431655
"771","June",4,"Tuesday",2015,"Philadelphia, PA",422,18,0.0409090909090909
"772","June",4,"Tuesday",2016,"Philadelphia, PA",370,51,0.121140142517815
"773","June",4,"Tuesday",2017,"Philadelphia, PA",529,30,0.0536672629695885
"774","June",4,"Wednesday",2014,"Philadelphia, PA",308,5,0.0159744408945687
"775","June",4,"Wednesday",2015,"Philadelphia, PA",604,12,0.0194805194805195
"776","June",4,"Wednesday",2016,"Philadelphia, PA",526,68,0.114478114478114
"777","June",4,"Wednesday",2017,"Philadelphia, PA",647,55,0.0783475783475783
"778","June",5,"Friday",2017,"Philadelphia, PA",600,50,0.0769230769230769
"779","June",5,"Monday",2014,"Philadelphia, PA",234,12,0.0487804878048781
"780","June",5,"Monday",2015,"Philadelphia, PA",273,21,0.0714285714285714
"781","June",5,"Monday",2016,"Philadelphia, PA",492,56,0.102189781021898
"782","June",5,"Monday",2017,"Philadelphia, PA",398,52,0.115555555555556
"783","June",5,"Thursday",2016,"Philadelphia, PA",410,25,0.0574712643678161
"784","June",5,"Thursday",2017,"Philadelphia, PA",513,34,0.0621572212065814
"785","June",5,"Tuesday",2015,"Philadelphia, PA",305,42,0.121037463976945
"786","June",5,"Tuesday",2016,"Philadelphia, PA",362,25,0.0645994832041344
"787","June",5,"Tuesday",2017,"Philadelphia, PA",618,55,0.0817236255572065
"788","June",5,"Wednesday",2016,"Philadelphia, PA",667,46,0.0645161290322581
"789","June",5,"Wednesday",2017,"Philadelphia, PA",648,50,0.0716332378223496
"790","July",1,"Friday",2014,"Philadelphia, PA",359,6,0.0164383561643836
"791","July",1,"Friday",2015,"Philadelphia, PA",381,12,0.0305343511450382
"792","July",1,"Friday",2016,"Philadelphia, PA",558,55,0.0897226753670473
"793","July",1,"Saturday",2014,"Philadelphia, PA",213,11,0.0491071428571429
"794","July",1,"Saturday",2015,"Philadelphia, PA",352,3,0.00845070422535211
"795","July",1,"Saturday",2016,"Philadelphia, PA",180,17,0.0862944162436548
"796","July",1,"Saturday",2017,"Philadelphia, PA",494,16,0.0313725490196078
"797","July",1,"Sunday",2014,"Philadelphia, PA",111,2,0.0176991150442478
"798","July",1,"Sunday",2015,"Philadelphia, PA",238,9,0.0364372469635627
"799","July",1,"Sunday",2016,"Philadelphia, PA",299,22,0.0685358255451713
"800","July",1,"Sunday",2017,"Philadelphia, PA",462,30,0.0609756097560976
"801","July",1,"Thursday",2014,"Philadelphia, PA",162,3,0.0181818181818182
"802","July",1,"Thursday",2015,"Philadelphia, PA",397,17,0.0410628019323672
"803","July",1,"Tuesday",2014,"Philadelphia, PA",280,12,0.0410958904109589
"804","July",1,"Wednesday",2014,"Philadelphia, PA",335,8,0.0233236151603499
"805","July",1,"Wednesday",2015,"Philadelphia, PA",413,30,0.0677200902934537
"806","July",2,"Friday",2014,"Philadelphia, PA",142,18,0.1125
"807","July",2,"Friday",2015,"Philadelphia, PA",399,18,0.0431654676258993
"808","July",2,"Friday",2016,"Philadelphia, PA",448,63,0.123287671232877
"809","July",2,"Friday",2017,"Philadelphia, PA",431,54,0.111340206185567
"810","July",2,"Monday",2014,"Philadelphia, PA",271,3,0.0109489051094891
"811","July",2,"Monday",2015,"Philadelphia, PA",420,28,0.0625
"812","July",2,"Monday",2016,"Philadelphia, PA",318,9,0.0275229357798165
"813","July",2,"Monday",2017,"Philadelphia, PA",663,75,0.101626016260163
"814","July",2,"Saturday",2014,"Philadelphia, PA",230,12,0.0495867768595041
"815","July",2,"Saturday",2015,"Philadelphia, PA",212,8,0.0363636363636364
"816","July",2,"Saturday",2016,"Philadelphia, PA",378,53,0.122969837587007
"817","July",2,"Saturday",2017,"Philadelphia, PA",366,40,0.0985221674876847
"818","July",2,"Sunday",2014,"Philadelphia, PA",132,7,0.0503597122302158
"819","July",2,"Sunday",2015,"Philadelphia, PA",303,23,0.0705521472392638
"820","July",2,"Sunday",2016,"Philadelphia, PA",285,23,0.0746753246753247
"821","July",2,"Sunday",2017,"Philadelphia, PA",427,50,0.10482180293501
"822","July",2,"Thursday",2014,"Philadelphia, PA",368,8,0.0212765957446809
"823","July",2,"Thursday",2015,"Philadelphia, PA",222,12,0.0512820512820513
"824","July",2,"Thursday",2016,"Philadelphia, PA",240,19,0.0733590733590734
"825","July",2,"Thursday",2017,"Philadelphia, PA",697,86,0.109833971902937
"826","July",2,"Tuesday",2014,"Philadelphia, PA",263,5,0.0186567164179104
"827","July",2,"Tuesday",2015,"Philadelphia, PA",365,15,0.0394736842105263
"828","July",2,"Tuesday",2016,"Philadelphia, PA",663,42,0.0595744680851064
"829","July",2,"Tuesday",2017,"Philadelphia, PA",552,30,0.0515463917525773
"830","July",2,"Wednesday",2014,"Philadelphia, PA",317,7,0.0216049382716049
