"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"112","Jan.",4,"Monday",2015,"Philadelphia, PA",342,55,0.138539042821159
"113","Jan.",4,"Monday",2016,"Boston, MA",175,51,0.225663716814159
"114","Jan.",4,"Monday",2016,"New York, NY",109,23,0.174242424242424
"115","Jan.",4,"Monday",2016,"Philadelphia, PA",505,84,0.142614601018676
"116","Jan.",4,"Monday",2017,"Philadelphia, PA",476,130,0.214521452145215
"117","Jan.",4,"Monday",2018,"Philadelphia, PA",461,34,0.0686868686868687
"118","Jan.",4,"Saturday",2015,"Philadelphia, PA",253,14,0.052434456928839
"119","Jan.",4,"Saturday",2016,"Boston, MA",95,11,0.10377358490566
"120","Jan.",4,"Saturday",2016,"New York, NY",101,21,0.172131147540984
"121","Jan.",4,"Saturday",2016,"Philadelphia, PA",245,34,0.121863799283154
"122","Jan.",4,"Saturday",2017,"Philadelphia, PA",193,135,0.411585365853659
"123","Jan.",4,"Saturday",2018,"Philadelphia, PA",251,20,0.0738007380073801
"124","Jan.",4,"Sunday",2015,"Philadelphia, PA",229,27,0.10546875
"125","Jan.",4,"Sunday",2016,"Boston, MA",97,13,0.118181818181818
"126","Jan.",4,"Sunday",2016,"New York, NY",144,18,0.111111111111111
"127","Jan.",4,"Sunday",2016,"Philadelphia, PA",226,22,0.0887096774193548
"128","Jan.",4,"Sunday",2017,"Philadelphia, PA",174,66,0.275
"129","Jan.",4,"Sunday",2018,"Philadelphia, PA",215,27,0.111570247933884
"130","Jan.",4,"Thursday",2015,"Philadelphia, PA",267,45,0.144230769230769
"131","Jan.",4,"Thursday",2016,"Boston, MA",173,43,0.199074074074074
"132","Jan.",4,"Thursday",2016,"New York, NY",193,29,0.130630630630631
"133","Jan.",4,"Thursday",2016,"Philadelphia, PA",471,77,0.140510948905109
"134","Jan.",4,"Thursday",2017,"Philadelphia, PA",371,175,0.320512820512821
"135","Jan.",4,"Thursday",2018,"Philadelphia, PA",514,55,0.0966608084358524
"136","Jan.",4,"Tuesday",2015,"Philadelphia, PA",379,85,0.183189655172414
"137","Jan.",4,"Tuesday",2016,"Boston, MA",221,56,0.202166064981949
"138","Jan.",4,"Tuesday",2016,"New York, NY",237,61,0.204697986577181
"139","Jan.",4,"Tuesday",2016,"Philadelphia, PA",590,82,0.12202380952381
"140","Jan.",4,"Tuesday",2017,"Philadelphia, PA",418,161,0.278065630397237
"141","Jan.",4,"Tuesday",2018,"Philadelphia, PA",294,50,0.145348837209302
"142","Jan.",4,"Wednesday",2015,"Philadelphia, PA",158,21,0.11731843575419
"143","Jan.",4,"Wednesday",2016,"Boston, MA",342,96,0.219178082191781
"144","Jan.",4,"Wednesday",2016,"New York, NY",214,34,0.137096774193548
"145","Jan.",4,"Wednesday",2016,"Philadelphia, PA",691,130,0.158343483556638
"146","Jan.",4,"Wednesday",2017,"Philadelphia, PA",442,195,0.306122448979592
"147","Jan.",4,"Wednesday",2018,"Philadelphia, PA",291,55,0.158959537572254
"148","Jan.",5,"Friday",2015,"Philadelphia, PA",254,63,0.198738170347003
"149","Jan.",5,"Friday",2016,"Boston, MA",57,22,0.278481012658228
"150","Jan.",5,"Friday",2016,"New York, NY",236,44,0.157142857142857
"151","Jan.",5,"Friday",2016,"Philadelphia, PA",558,112,0.167164179104478
"152","Jan.",5,"Friday",2017,"Philadelphia, PA",506,215,0.298196948682386
