"","date","topic","city_state","smoothed_mean_within_day","year"
"116",2014-06-25,"Crime","Philadelphia, PA",8.22251322007912,2014
"117",2014-06-25,"Disaster","Philadelphia, PA",6.45090509094159,2014
"118",2014-06-25,"Sports","Philadelphia, PA",3.62002970602705,2014
"119",2014-06-25,"Weather","Philadelphia, PA",9.92581941919858,2014
"120",2014-06-26,"Politics","Philadelphia, PA",3.28375509275617,2014
"121",2014-06-26,"National Politics","Philadelphia, PA",1.07949931676756,2014
"122",2014-06-26,"Local Politics","Philadelphia, PA",2.20533575817393,2014
"123",2014-06-26,"Crime","Philadelphia, PA",8.22497510447916,2014
"124",2014-06-26,"Disaster","Philadelphia, PA",6.41515445803014,2014
"125",2014-06-26,"Sports","Philadelphia, PA",3.64747552530715,2014
"126",2014-06-26,"Weather","Philadelphia, PA",9.87661940795617,2014
"127",2014-06-27,"Politics","Philadelphia, PA",3.27806563882517,2014
"128",2014-06-27,"National Politics","Philadelphia, PA",1.07933278222912,2014
"129",2014-06-27,"Local Politics","Philadelphia, PA",2.2043820153074,2014
"130",2014-06-27,"Crime","Philadelphia, PA",8.22748286690514,2014
"131",2014-06-27,"Disaster","Philadelphia, PA",6.37977721371925,2014
"132",2014-06-27,"Sports","Philadelphia, PA",3.6746634214794,2014
"133",2014-06-27,"Weather","Philadelphia, PA",9.82803036713971,2014
"134",2014-06-28,"Politics","Philadelphia, PA",3.27246328740215,2014
"135",2014-06-28,"National Politics","Philadelphia, PA",1.07919610158083,2014
"136",2014-06-28,"Local Politics","Philadelphia, PA",2.20345408057248,2014
"137",2014-06-28,"Crime","Philadelphia, PA",8.23003906484337,2014
"138",2014-06-28,"Disaster","Philadelphia, PA",6.34477496266141,2014
"139",2014-06-28,"Sports","Philadelphia, PA",3.70159462254499,2014
"140",2014-06-28,"Weather","Philadelphia, PA",9.78005530489742,2014
"141",2014-06-29,"Politics","Philadelphia, PA",3.26694965784,2014
"142",2014-06-29,"National Politics","Philadelphia, PA",1.07909008689234,2014
"143",2014-06-29,"Local Politics","Philadelphia, PA",2.20255305495608,2014
"144",2014-06-29,"Crime","Philadelphia, PA",8.23264625578011,2014
"145",2014-06-29,"Disaster","Philadelphia, PA",6.31014930950912,2014
"146",2014-06-29,"Sports","Philadelphia, PA",3.7282703565051,2014
"147",2014-06-29,"Weather","Philadelphia, PA",9.73269722937747,2014
"148",2014-06-30,"Politics","Philadelphia, PA",3.26152636949159,2014
"149",2014-06-30,"National Politics","Philadelphia, PA",1.07901555023327,2014
"150",2014-06-30,"Local Politics","Philadelphia, PA",2.20168003944506,2014
"151",2014-06-30,"Crime","Philadelphia, PA",8.23530699720166,2014
"152",2014-06-30,"Disaster","Philadelphia, PA",6.27590185891488,2014
"153",2014-06-30,"Sports","Philadelphia, PA",3.75469185136094,2014
"154",2014-06-30,"Weather","Philadelphia, PA",9.68595914872808,2014
"155",2014-07-01,"Politics","Philadelphia, PA",3.25619504170983,2014
"156",2014-07-01,"National Politics","Philadelphia, PA",1.07897330367328,2014
"157",2014-07-01,"Local Politics","Philadelphia, PA",2.20083613502631,2014
"158",2014-07-01,"Crime","Philadelphia, PA",8.2380238465943,2014
"159",2014-07-01,"Disaster","Philadelphia, PA",6.24203421553118,2014
"160",2014-07-01,"Sports","Philadelphia, PA",3.78086033511369,2014
"161",2014-07-01,"Weather","Philadelphia, PA",9.63984407109744,2014
"162",2014-07-02,"Politics","Philadelphia, PA",3.2509572938476,2014
"163",2014-07-02,"National Politics","Philadelphia, PA",1.07896415928201,2014
"164",2014-07-02,"Local Politics","Philadelphia, PA",2.20002244268671,2014
"165",2014-07-02,"Crime","Philadelphia, PA",8.24079936144433,2014
"166",2014-07-02,"Disaster","Philadelphia, PA",6.20854798401052,2014
"167",2014-07-02,"Sports","Philadelphia, PA",3.80677703576454,2014
"168",2014-07-02,"Weather","Philadelphia, PA",9.59435500463374,2014
"169",2014-07-03,"Politics","Philadelphia, PA",3.24581474525777,2014
"170",2014-07-03,"National Politics","Philadelphia, PA",1.07898892912909,2014
"171",2014-07-03,"Local Politics","Philadelphia, PA",2.19924006341314,2014
"172",2014-07-03,"Crime","Philadelphia, PA",8.24363609923802,2014
"173",2014-07-03,"Disaster","Philadelphia, PA",6.17544476900539,2014
"174",2014-07-03,"Sports","Philadelphia, PA",3.8324431813147,2014
"175",2014-07-03,"Weather","Philadelphia, PA",9.54949495748519,2014
"176",2014-07-04,"Politics","Philadelphia, PA",3.24076901529325,2014
"177",2014-07-04,"National Politics","Philadelphia, PA",1.07904842528417,2014
"178",2014-07-04,"Local Politics","Philadelphia, PA",2.19849009819249,2014
"179",2014-07-04,"Crime","Philadelphia, PA",8.24653661746166,2014
"180",2014-07-04,"Disaster","Philadelphia, PA",6.14272617516828,2014
"181",2014-07-04,"Sports","Philadelphia, PA",3.85785999976535,2014
"182",2014-07-04,"Weather","Philadelphia, PA",9.50526693779998,2014
"183",2014-07-05,"Politics","Philadelphia, PA",3.23582172330692,2014
"184",2014-07-05,"National Politics","Philadelphia, PA",1.07914345981689,2014
"185",2014-07-05,"Local Politics","Philadelphia, PA",2.19777364801163,2014
"186",2014-07-05,"Crime","Philadelphia, PA",8.24950347360155,2014
"187",2014-07-05,"Disaster","Philadelphia, PA",6.1103938071517,2014
"188",2014-07-05,"Sports","Philadelphia, PA",3.88302871911768,2014
"189",2014-07-05,"Weather","Philadelphia, PA",9.46167395372632,2014
"190",2014-07-06,"Politics","Philadelphia, PA",3.23097448865166,2014
"191",2014-07-06,"National Politics","Philadelphia, PA",1.07927484479689,2014
"192",2014-07-06,"Local Politics","Philadelphia, PA",2.19709181385746,2014
"193",2014-07-06,"Crime","Philadelphia, PA",8.25253922514396,2014
"194",2014-07-06,"Disaster","Philadelphia, PA",6.07844926960815,2014
"195",2014-07-06,"Sports","Philadelphia, PA",3.90795056737288,2014
"196",2014-07-06,"Weather","Philadelphia, PA",9.41871901341239,2014
"197",2014-07-07,"Politics","Philadelphia, PA",3.22622893068036,2014
"198",2014-07-07,"National Politics","Philadelphia, PA",1.07944339229381,2014
"199",2014-07-07,"Local Politics","Philadelphia, PA",2.19644569671684,2014
"200",2014-07-07,"Crime","Philadelphia, PA",8.25564642957518,2014
"201",2014-07-07,"Disaster","Philadelphia, PA",6.0468941671901,2014
"202",2014-07-07,"Sports","Philadelphia, PA",3.93262677253216,2014
"203",2014-07-07,"Weather","Philadelphia, PA",9.3764051250064,2014
"204",2014-07-08,"Politics","Philadelphia, PA",3.2215866687459,2014
"205",2014-07-08,"National Politics","Philadelphia, PA",1.0796499143773,2014
"206",2014-07-08,"Local Politics","Philadelphia, PA",2.19583639757667,2014
"207",2014-07-08,"Crime","Philadelphia, PA",8.25882764438151,2014
"208",2014-07-08,"Disaster","Philadelphia, PA",6.01573010455007,2014
"209",2014-07-08,"Sports","Philadelphia, PA",3.95705856259669,2014
"210",2014-07-08,"Weather","Philadelphia, PA",9.33473529665656,2014
"211",2014-07-09,"Politics","Philadelphia, PA",3.21704932220119,2014
"212",2014-07-09,"National Politics","Philadelphia, PA",1.07989522311699,2014
"213",2014-07-09,"Local Politics","Philadelphia, PA",2.19526501742382,2014
"214",2014-07-09,"Crime","Philadelphia, PA",8.26208542704922,2014
